grid.nam,latitude,longitude,elevation,all_flower_mid,all_fruit_mid,development_time,development_time_herb,development_time_WD,flower_herb_mid,flower_WD_mid,fruit_herb_mid,fruiting_WD_mid,all_flower_var,flower_herb_var,flower_WD_var,all_fruit_var,fruit_herb_var,fruit_WD_var,MAT,TCQ,MAP,PDM,TS,PS,accu_2019
651,43.57,87.54,1596.15,190.88,212.53,21.5,18.8,48.6,193.2,164.1,212.5,213.1,0.17,0.16,0.18,0.16,0.15,0.18,277.08378,260.7997,227.368,4.05778,119.441,63.6833,2520.214435
652,43.72,88.78,2060.31,190.94,212.36,21.7,19.1,46.9,193.2,164.8,212.5,211.1,0.17,0.16,0.19,0.16,0.15,0.19,274.47974,258.4739,217.736,3.63443,118.637,64.6125,2133.603173
653,43.86,90.02,1312.72,193.31,215.09,22.6,19.8,45.2,196.2,164.6,215.9,208.2,0.16,0.15,0.22,0.15,0.14,0.24,277.22077,259.8588,150.164,2.72333,127.419,60.3946,2801.496028
654,43.99,91.26,1395.46,192.73,216.07,23.5,20.1,51.7,195.7,163.3,216.5,212.2,0.16,0.15,0.19,0.14,0.13,0.24,278.31771,261.6266,101.259,1.16934,124.065,75.3826,3035.325717
655,44.11,92.51,1503.88,191.82,215.73,24.3,19.7,55.6,194.7,166.6,215.1,220.3,0.14,0.12,0.17,0.12,0.11,0.21,277.80808,261.3852,134.656,1.88373,121.969,78.7152,2808.880308
656,44.22,93.76,950.872,192.54,216.4,24,19.6,53.6,195.8,166.4,216.2,218,0.15,0.14,0.15,0.13,0.12,0.19,280.10473,262.4698,84.5059,1.30291,128.827,77.2962,3889.418139
671,44.45,112.76,1160.5,196.57,219.4,20.7,19,35.8,199.3,170,220.4,209.9,0.19,0.18,0.17,0.12,0.12,0.17,275.10088,255.7147,181.989,1.00064,142.193,107.316,2904.246075
672,44.38,114.02,1135.08,195.18,218.42,20.8,17.9,41.5,197.9,173.5,218.2,219.7,0.19,0.18,0.16,0.14,0.13,0.17,274.51608,254.9203,221.376,1.35171,143.106,111.515,2707.288241
673,44.29,115.28,1148.57,197.33,219.8,23.1,20.1,54.2,200.1,162.4,219.8,219.7,0.17,0.16,0.15,0.14,0.13,0.18,274.049581,254.3183,260.001,2.03289,143.661,107.367,2729.634662
674,44.19,116.54,1117.1,197.67,220.7,24,20.1,59.5,200.8,160.9,220.3,225,0.18,0.16,0.18,0.14,0.13,0.23,274.40241,255.3849,308.573,2.31211,139.195,108.307,2521.969725
675,44.08,117.79,1189.63,199.14,223.27,26,21.5,64.6,202.4,162,222.5,230.5,0.17,0.15,0.18,0.14,0.13,0.2,274.35236,256.7604,382.911,2.56536,129.97,112.977,2278.897828
676,43.96,119.04,817.122,202.03,225.5,23.7,19.3,60.5,205.8,162.2,225.6,224.2,0.18,0.16,0.16,0.13,0.13,0.19,276.55152,259.4924,392.592,1.2622,127.287,123.21,2662.620743
677,43.83,120.28,374.488,201.66,224.68,25,21.1,56.8,205,166.1,224.4,227.4,0.18,0.16,0.23,0.14,0.13,0.23,279.22074,262.2878,382.884,1,126.461,122.729,3274.745287
678,43.69,121.52,218.59,200.14,224.02,24.9,21.9,59.4,203,157.5,224,223.8,0.19,0.17,0.23,0.16,0.15,0.32,279.66995,262.1579,395.245,1.38743,129.743,115.396,3475.684277
679,43.54,122.75,165.634,199.39,224.48,26.1,23.6,62.9,201.5,157.4,224.1,233.2,0.2,0.19,0.28,0.18,0.16,0.4,279.34889,261.248,441.779,2.24863,132.95,108.617,3489.777043
680,43.37,123.98,150.103,198.22,225.88,28.5,25.6,61.2,201,155.9,225.8,226.9,0.22,0.2,0.27,0.19,0.17,0.42,279.38175,261.1811,564.18,4.02383,132.904,104.849,3492.244515
681,43.2,125.2,292.7,198.69,230.82,31.1,28.1,56.4,202.1,162.3,231.2,226.5,0.22,0.2,0.25,0.18,0.16,0.41,278.06334,259.2796,687.681,6.41782,136.052,100.217,3099.436955
682,43.01,126.42,416.65,192.01,228.06,37.7,29.1,78.8,199.7,149.1,227.4,231.6,0.24,0.22,0.13,0.18,0.17,0.25,277.01044,257.6782,756.321,8.09276,138.346,95.208,2930.600725
683,42.82,127.63,652.974,191.87,222.91,32.6,25.2,69.3,197.6,155,222.3,226.5,0.2,0.18,0.17,0.19,0.17,0.25,275.77191,257.3655,715.189,7.23863,132.693,94.2133,2656.640243
